id,section,type,text,answer
1,1,日本語,チームで協力して楽しい一日にしよう,ちーむできょうりょくしてたのしいいちにちにしよう
2,1,日本語,今日も元気に仕事を始めよう,きょうもげんきにしごとをはじめよう
3,1,日本語,みんなで力を合わせよう,みんなでちからをあわせよう
4,1,日本語,最後まであきらめずに走り抜けよう,さいごまであきらめずにはしりぬけよう
5,1,日本語,最高のチームワークを見せよう,さいこうのちーむわーくをみせよう
6,2,日本語,次の区間へバトンをつなごう,つぎのくかんへばとんをつなごう
7,2,日本語,仲間を信じて前へ進もう,なかまをしんじてまえへすすもう
8,2,日本語,一人ではなくみんなで挑戦しよう,ひとりではなくみんなでちょうせんしよう
9,2,日本語,焦らず正確に入力しよう,あせらずせいかくににゅうりょくしよう
10,2,日本語,速さと正確さの両方が大切です,はやさとせいかくさのりょうほうがたいせつです
11,3,日本語,ここから本気の勝負が始まる,ここからほんきのしょうぶがはじまる
12,3,日本語,集中力を切らさずに進もう,しゅうちゅうりょくをきらさずにすすもう
13,3,日本語,ミスを恐れずに挑戦しよう,みすをおそれずにちょうせんしよう
14,3,日本語,一文字ずつ確実に入力しよう,ひともじずつかくじつににゅうりょくしよう
15,3,日本語,チームの力でゴールを目指そう,ちーむのちからでごーるをめざそう
16,4,日本語,ここから後半戦に突入します,ここからこうはんせんにとつにゅうします
17,4,日本語,まだまだ勝負は終わっていない,まだまだしょうぶはおわっていない
18,4,日本語,最高の集中力を発揮しよう,さいこうのしゅうちゅうりょくをはっきしよう
19,4,日本語,仲間から受け取ったバトンをつなごう,なかまからうけとったばとんをつなごう
20,4,日本語,最後の一秒まで全力で走ろう,さいごのいちびょうまでぜんりょくではしろう
21,5,日本語,ゴールまであと少しです,ごーるまであとすこしです
22,5,日本語,ここが勝負の分かれ目です,ここがしょうぶのわかれめです
23,5,日本語,自分の力を信じて進もう,じぶんのちからをしんじてすすもう
24,5,日本語,チーム全員の想いをつなごう,ちーむぜんいんのおもいをつなごう
25,5,日本語,ラストスパートで一気に駆け抜けよう,らすとすぱーとでいっきにかけぬけよう
26,6,日本語,いよいよ最終区間です,いよいよさいしゅうくかんです
27,6,日本語,ここまで積み重ねた力を出し切ろう,ここまでつみかさねたちからをだしきろう
28,6,日本語,最後まで仲間と一緒に走り抜けよう,さいごまでなかまといっしょにはしりぬけよう
29,6,日本語,最高のゴールをみんなで迎えよう,さいこうのごーるをみんなでむかえよう
30,6,日本語,チームの挑戦はここで完成する,ちーむのちょうせんはここでかんせいする
